circuit_name,num_qubits,attack_type,noise_rate,tvd,risk_score,expected_label,predicted_label,correct
grover_n2.qasm,2,Normal,0.02,0.18,27.89,0,0,True
grover_n2.qasm,2,Gate Insertion,0.02,0.575,98.99,1,1,True
grover_n2.qasm,2,Gate Deletion,0.02,0.925,98.99,1,1,True
grover_n2.qasm,2,Gate Substitution,0.02,0.54,98.99,1,1,True
grover_n2.qasm,2,Multiple Gate Insertion,0.02,0.515,99.78,1,1,True
grover_n2.qasm,2,Normal,0.03,0.3,75.38,0,1,False
grover_n2.qasm,2,Gate Insertion,0.03,0.59,98.99,1,1,True
grover_n2.qasm,2,Gate Deletion,0.03,0.915,98.99,1,1,True
grover_n2.qasm,2,Gate Substitution,0.03,0.575,98.99,1,1,True
grover_n2.qasm,2,Multiple Gate Insertion,0.03,0.635,99.78,1,1,True
grover_n2.qasm,2,Normal,0.04,0.325,75.38,0,1,False
grover_n2.qasm,2,Gate Insertion,0.04,0.64,98.99,1,1,True
grover_n2.qasm,2,Gate Deletion,0.04,0.885,98.99,1,1,True
grover_n2.qasm,2,Gate Substitution,0.04,0.635,98.99,1,1,True
grover_n2.qasm,2,Multiple Gate Insertion,0.04,0.62,99.78,1,1,True
grover_n2.qasm,2,Normal,0.05,0.395,92.29,0,1,False
grover_n2.qasm,2,Gate Insertion,0.05,0.65,98.99,1,1,True
grover_n2.qasm,2,Gate Deletion,0.05,0.825,98.99,1,1,True
grover_n2.qasm,2,Gate Substitution,0.05,0.64,98.99,1,1,True
grover_n2.qasm,2,Multiple Gate Insertion,0.05,0.645,99.78,1,1,True
hhl_n7.qasm,7,Normal,0.005,0.875,33.45,0,0,True
hhl_n7.qasm,7,Gate Insertion,0.005,0.975,96.37,1,1,True
hhl_n7.qasm,7,Gate Deletion,0.005,0.9,71.84,1,1,True
hhl_n7.qasm,7,Gate Substitution,0.005,0.89,63.01,1,1,True
hhl_n7.qasm,7,Multiple Gate Insertion,0.005,0.945,92.27,1,1,True
hhl_n7.qasm,7,Normal,0.01,0.96,32.04,0,0,True
hhl_n7.qasm,7,Gate Insertion,0.01,0.965,96.14,1,1,True
hhl_n7.qasm,7,Gate Deletion,0.01,0.94,70.52,1,1,True
hhl_n7.qasm,7,Gate Substitution,0.01,0.965,61.5,1,1,True
hhl_n7.qasm,7,Multiple Gate Insertion,0.01,0.955,91.8,1,1,True
hhl_n7.qasm,7,Normal,0.02,0.96,29.99,0,0,True
hhl_n7.qasm,7,Gate Insertion,0.02,0.965,95.77,1,1,True
hhl_n7.qasm,7,Gate Deletion,0.02,0.955,68.49,1,1,True
hhl_n7.qasm,7,Gate Substitution,0.02,0.975,59.2,1,1,True
hhl_n7.qasm,7,Multiple Gate Insertion,0.02,0.98,91.04,1,1,True
hhl_n7.qasm,7,Normal,0.03,0.965,29.99,0,0,True
hhl_n7.qasm,7,Gate Insertion,0.03,0.975,95.77,1,1,True
hhl_n7.qasm,7,Gate Deletion,0.03,0.975,68.49,1,1,True
hhl_n7.qasm,7,Gate Substitution,0.03,0.955,59.2,1,1,True
